[2024-12-04 17:36:07] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:08] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:08] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:08] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:08] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:09] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:09] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:09] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:10] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:10] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:10] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:11] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:11] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:11] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:11] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:12] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:12] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:12] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:13] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:13] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:13] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:14] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:14] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:14] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:14] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:15] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:15] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:15] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:16] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:16] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:16] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:17] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:17] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:17] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:17] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:18] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:18] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:18] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:19] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:19] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:19] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:20] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:20] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:20] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:20] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:20] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:21] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:22] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:23] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:24] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:25] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:26] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:27] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:28] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:29] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:30] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
[2024-12-04 17:36:31] Previous position: (50.00, 50.00) | Updated Position: (50.00, 50.00)
